제조사,모델명,모델번호,모델_네트워크타입,통신사,요금제,월요금제,기기변경지원금,번호이동지원금,공시일,섹션
삼성전자,[5G] 갤럭시 Z 폴드6 (1TB),SM-F956N_1T,5G,SK,5GX 프리미엄,109000,500000,500000,2024-08-08,F01
삼성전자,[5G] 갤럭시 Z 폴드6 (1TB),SM-F956N_1T,5G,KT,초이스 스페셜,110000,500000,500000,2024-08-08,F01
삼성전자,[5G] 갤럭시 Z 폴드6 (1TB),SM-F956N_1T,5G,LG,5G 프리미어 플러스,105000,500000,500000,2024-08-08,F01
삼성전자,[5G] 갤럭시 Z 폴드6 (1TB),SM-F956N_1T,5G,SK,5GX 플래티넘,125000,530000,530000,2024-08-08,G01
삼성전자,[5G] 갤럭시 Z 폴드6 (1TB),SM-F956N_1T,5G,KT,초이스 프리미엄,130000,500000,500000,2024-08-08,G01
삼성전자,[5G] 갤럭시 Z 폴드6 (1TB),SM-F956N_1T,5G,LG,5G 시그니처,130000,500000,500000,2024-08-08,G01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,SK,컴팩트,39000,234000,234000,2024-08-08,A01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,KT,5G 슬림 4GB,37000,210000,210000,2024-08-08,A01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,LG,5G 미니,37000,222000,222000,2024-08-08,A01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,SK,컴팩트플러스,45000,269000,269000,2024-08-08,B01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,KT,5G 슬림 7GB,45000,255000,255000,2024-08-08,B01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,LG,5G 슬림+,47000,280000,280000,2024-08-08,B01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,SK,베이직플러스,59000,336000,336000,2024-08-08,C01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,KT,5G 슬림 21GB,58000,319000,319000,2024-08-08,C01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,LG,5G 베이직+,59000,350000,350000,2024-08-08,C01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,SK,베이직플러스 50GB업,66000,355000,355000,2024-08-08,D01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,KT,5G 심플 70GB,65000,355000,355000,2024-08-08,D01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,LG,5G 데이터 플러스,66000,390000,390000,2024-08-08,D01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,SK,5GX 레귤러 플러스,79000,425000,425000,2024-08-08,E01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,KT,5G 심플 110GB,69000,377000,377000,2024-08-08,E01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,LG,5G 스탠다드,75000,442000,442000,2024-08-08,E01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,SK,5GX 프리미엄,109000,500000,500000,2024-08-08,F01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,KT,초이스 스페셜,110000,500000,500000,2024-08-08,F01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,LG,5G 프리미어 플러스,105000,500000,500000,2024-08-08,F01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,SK,5GX 플래티넘,125000,530000,530000,2024-08-08,G01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,KT,초이스 프리미엄,130000,500000,500000,2024-08-08,G01
삼성전자,[5G] 갤럭시 Z 폴드6 (256GB),SM-F956N,5G,LG,5G 시그니처,130000,500000,500000,2024-08-08,G01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,SK,컴팩트,39000,234000,234000,2024-08-08,A01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,KT,5G 슬림 4GB,37000,210000,210000,2024-08-08,A01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,LG,5G 미니,37000,222000,222000,2024-08-08,A01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,SK,컴팩트플러스,45000,269000,269000,2024-08-08,B01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,KT,5G 슬림 7GB,45000,255000,255000,2024-08-08,B01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,LG,5G 슬림+,47000,280000,280000,2024-08-08,B01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,SK,베이직플러스,59000,336000,336000,2024-08-08,C01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,KT,5G 슬림 21GB,58000,319000,319000,2024-08-08,C01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,LG,5G 베이직+,59000,350000,350000,2024-08-08,C01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,SK,베이직플러스 50GB업,66000,355000,355000,2024-08-08,D01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,KT,5G 심플 70GB,65000,355000,355000,2024-08-08,D01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,LG,5G 데이터 플러스,66000,390000,390000,2024-08-08,D01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,SK,5GX 레귤러 플러스,79000,425000,425000,2024-08-08,E01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,KT,5G 심플 110GB,69000,377000,377000,2024-08-08,E01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,LG,5G 스탠다드,75000,442000,442000,2024-08-08,E01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,SK,5GX 프리미엄,109000,500000,500000,2024-08-08,F01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,KT,초이스 스페셜,110000,500000,500000,2024-08-08,F01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,LG,5G 프리미어 플러스,105000,500000,500000,2024-08-08,F01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,SK,5GX 플래티넘,125000,530000,530000,2024-08-08,G01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,KT,초이스 프리미엄,130000,500000,500000,2024-08-08,G01
삼성전자,[5G] 갤럭시 Z 폴드6 (512GB),SM-F956N_512G,5G,LG,5G 시그니처,130000,500000,500000,2024-08-08,G01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,SK,컴팩트,39000,325000,325000,2024-10-25,A01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,KT,5G 슬림 4GB,37000,196000,196000,2024-10-25,A01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,LG,5G 미니,37000,222000,222000,2024-08-08,A01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,SK,컴팩트플러스,45000,361000,361000,2024-10-25,B01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,KT,5G 슬림 7GB,45000,263000,263000,2024-10-25,B01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,LG,5G 슬림+,47000,280000,280000,2024-08-08,B01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,SK,베이직플러스,59000,430000,430000,2024-10-25,C01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,KT,5G 슬림 21GB,58000,357000,357000,2024-10-25,C01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,LG,5G 베이직+,59000,350000,350000,2024-08-08,C01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,SK,베이직플러스 50GB업,66000,450000,450000,2024-10-25,D01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,KT,5G 심플 70GB,65000,411000,411000,2024-10-25,D01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,LG,5G 데이터 플러스,66000,390000,390000,2024-08-08,D01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,SK,5GX 레귤러 플러스,79000,523000,523000,2024-10-25,E01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,KT,5G 심플 110GB,69000,445000,445000,2024-10-25,E01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,LG,5G 스탠다드,75000,442000,442000,2024-08-08,E01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,SK,5GX 프리미엄,109000,600000,600000,2024-10-25,F01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,KT,초이스 스페셜,110000,600000,600000,2024-10-25,F01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,LG,5G 프리미어 플러스,105000,500000,500000,2024-08-08,F01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,SK,5GX 플래티넘,125000,600000,600000,2024-10-25,G01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,KT,초이스 프리미엄,130000,600000,600000,2024-10-25,G01
삼성전자,[5G] 갤럭시 Z 플립6 (256GB),SM-F741N,5G,LG,5G 시그니처,130000,500000,500000,2024-08-08,G01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,SK,컴팩트,39000,325000,325000,2024-10-25,A01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,KT,5G 슬림 4GB,37000,196000,196000,2024-10-25,A01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,LG,5G 미니,37000,222000,222000,2024-08-08,A01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,SK,컴팩트플러스,45000,361000,361000,2024-10-25,B01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,KT,5G 슬림 7GB,45000,263000,263000,2024-10-25,B01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,LG,5G 슬림+,47000,280000,280000,2024-08-08,B01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,SK,베이직플러스,59000,430000,430000,2024-10-25,C01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,KT,5G 슬림 21GB,58000,357000,357000,2024-10-25,C01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,LG,5G 베이직+,59000,350000,350000,2024-08-08,C01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,SK,베이직플러스 50GB업,66000,450000,450000,2024-10-25,D01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,KT,5G 심플 70GB,65000,411000,411000,2024-10-25,D01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,LG,5G 데이터 플러스,66000,390000,390000,2024-08-08,D01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,SK,5GX 레귤러 플러스,79000,523000,523000,2024-10-25,E01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,KT,5G 심플 110GB,69000,445000,445000,2024-10-25,E01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,LG,5G 스탠다드,75000,442000,442000,2024-08-08,E01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,SK,5GX 프리미엄,109000,600000,600000,2024-10-25,F01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,KT,초이스 스페셜,110000,600000,600000,2024-10-25,F01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,LG,5G 프리미어 플러스,105000,500000,500000,2024-08-08,F01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,SK,5GX 플래티넘,125000,600000,600000,2024-10-25,G01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,KT,초이스 프리미엄,130000,600000,600000,2024-10-25,G01
삼성전자,[5G] 갤럭시 Z 플립6 (512GB),SM-F741N_512G,5G,LG,5G 시그니처,130000,500000,500000,2024-08-08,G01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,SK,,,,,,A01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,KT,5G 슬림 4GB,37000,196000,196000,2024-10-25,A01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,LG,,,,,,A01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,SK,,,,,,B01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,KT,5G 슬림 7GB,45000,263000,263000,2024-10-25,B01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,LG,,,,,,B01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,SK,,,,,,C01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,KT,5G 슬림 21GB,58000,357000,357000,2024-10-25,C01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,LG,,,,,,C01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,SK,,,,,,D01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,KT,5G 심플 70GB,65000,411000,411000,2024-10-25,D01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,LG,,,,,,D01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,SK,,,,,,E01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,KT,5G 심플 110GB,69000,445000,445000,2024-10-25,E01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,LG,,,,,,E01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,SK,,,,,,F01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,KT,초이스 스페셜,110000,600000,600000,2024-10-25,F01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,LG,,,,,,F01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,SK,,,,,,G01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,KT,초이스 프리미엄,130000,600000,600000,2024-10-25,G01
삼성전자,[5G] 갤럭시 Z 플립6 마루는강쥐 에디션,SM-F741NK_MARU,5G,LG,,,,,,G01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,SK,,,,,,A01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,KT,,,,,,A01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,LG,5G 미니,37000,222000,222000,2024-08-08,A01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,SK,,,,,,B01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,KT,,,,,,B01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,LG,5G 슬림+,47000,280000,280000,2024-08-08,B01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,SK,,,,,,C01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,KT,,,,,,C01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,LG,5G 베이직+,59000,350000,350000,2024-08-08,C01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,SK,,,,,,D01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,KT,,,,,,D01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,LG,5G 데이터 플러스,66000,390000,390000,2024-08-08,D01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,SK,,,,,,E01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,KT,,,,,,E01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,LG,5G 스탠다드,75000,442000,442000,2024-08-08,E01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,SK,,,,,,F01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,KT,,,,,,F01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,LG,5G 프리미어 플러스,105000,500000,500000,2024-08-08,F01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,SK,,,,,,G01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,KT,,,,,,G01
삼성전자,[5G] 갤럭시 Z 플립6 화산귀한 에디션,SM-F741N-HG,5G,LG,5G 시그니처,130000,500000,500000,2024-08-08,G01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,SK,컴팩트,39000,78000,78000,2024-06-21,A01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,KT,5G 슬림 4GB,37000,280000,280000,2025-06-21,A01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,LG,5G 미니,37000,269000,269000,2024-06-21,A01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,SK,컴팩트플러스,45000,87000,87000,2024-06-21,B01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,KT,5G 슬림 7GB,45000,340000,340000,2025-06-21,B01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,LG,5G 슬림+,47000,342000,342000,2024-06-21,B01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,SK,베이직플러스,59000,105000,105000,2024-06-21,C01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,KT,5G 슬림 21GB,58000,424000,424000,2025-06-21,C01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,LG,5G 베이직+,59000,400000,400000,2024-06-21,C01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,SK,베이직플러스 50GB업,66000,110000,110000,2024-06-21,D01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,KT,5G 심플 70GB,65000,435000,435000,2025-06-21,D01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,LG,5G 데이터 플러스,66000,400000,400000,2024-06-21,D01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,SK,5GX 레귤러 플러스,79000,129000,129000,2024-06-21,E01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,KT,5G 심플 110GB,69000,435000,435000,2025-06-21,E01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,LG,5G 스탠다드,75000,400000,400000,2024-06-21,E01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,SK,5GX 프리미엄,109000,170000,170000,2024-06-21,F01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,KT,초이스 스페셜,110000,435000,435000,2025-06-21,F01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,LG,5G 프리미어 플러스,105000,400000,400000,2024-06-21,F01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,SK,5GX 플래티넘,125000,170000,170000,2024-06-21,G01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,KT,초이스 프리미엄,130000,435000,435000,2025-06-21,G01
삼성전자,[5G] 갤럭시 A35,SM-A356N,5G,LG,5G 시그니처,130000,400000,400000,2024-06-21,G01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,SK,컴팩트,39000,285000,285000,2025-04-02,A01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,KT,,,,,,A01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,LG,,,,,,A01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,SK,컴팩트플러스,45000,293400,293400,2025-04-02,B01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,KT,,,,,,B01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,LG,,,,,,B01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,SK,베이직플러스,59000,293400,293400,2025-04-02,C01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,KT,,,,,,C01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,LG,,,,,,C01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,SK,베이직플러스 50GB업,66000,293400,293400,2025-04-02,D01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,KT,,,,,,D01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,LG,,,,,,D01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,SK,5GX 레귤러 플러스,79000,293400,293400,2025-04-02,E01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,KT,,,,,,E01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,LG,,,,,,E01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,SK,5GX 프리미엄,109000,293400,293400,2025-04-02,F01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,KT,,,,,,F01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,LG,,,,,,F01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,SK,5GX 플래티넘,125000,293400,293400,2025-04-02,G01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,KT,,,,,,G01
삼성전자,[5G] 갤럭시 Wide7,SM-M156S,5G,LG,,,,,,G01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,SK,,,,,,A01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,KT,5G 슬림 4GB,37000,281000,281000,2025-03-21,A01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,LG,,,,,,A01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,SK,,,,,,B01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,KT,5G 슬림 7GB,45000,341000,341000,2025-03-21,B01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,LG,,,,,,B01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,SK,,,,,,C01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,KT,5G 슬림 21GB,58000,423000,423000,2025-03-21,C01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,LG,,,,,,C01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,SK,,,,,,D01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,KT,5G 심플 70GB,65000,471000,471000,2025-03-21,D01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,LG,,,,,,D01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,SK,,,,,,E01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,KT,5G 심플 110GB,69000,600000,600000,2025-03-21,E01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,LG,,,,,,E01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,SK,,,,,,F01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,KT,초이스 스페셜,110000,600000,600000,2025-03-21,F01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,LG,,,,,,F01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,SK,,,,,,G01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,KT,초이스 프리미엄,130000,600000,600000,2025-03-21,G01
삼성전자,[5G] 갤럭시 S23 프리미엄 Y에디션,SM-S911NK_PYE,5G,LG,,,,,,G01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,SK,,,,,,A01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,KT,,,,,,A01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,LG,5G 미니,37000,318000,318000,2024-04-26,A01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,SK,,,,,,B01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,KT,,,,,,B01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,LG,5G 슬림+,47000,335000,335000,2024-04-26,B01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,SK,,,,,,C01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,KT,,,,,,C01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,LG,5G 베이직+,59000,355000,355000,2024-04-26,C01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,SK,,,,,,D01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,KT,,,,,,D01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,LG,5G 데이터 플러스,66000,367000,367000,2024-04-26,D01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,SK,,,,,,E01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,KT,,,,,,E01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,LG,5G 스탠다드,75000,382000,382000,2024-04-26,E01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,SK,,,,,,F01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,KT,,,,,,F01
삼성전자,[5G] 갤럭시 버디3,SM-A156L,5G,LG,5G 프리미어 플러스,105000,399000,399000,2024-04-26,F01
